K1:ASC-POP_FORWARD_QPDA1_DC_PIT_OUT_DQ
K1:ASC-POP_QPDA1_RF17_I_PIT_OUT_DQ
K1:ASC-POP_QPDA1_RF17_I_YAW_OUT_DQ
K1:ASC-POP_QPDA1_RF17_Q_PIT_OUT_DQ
K1:ASC-POP_QPDA1_RF17_Q_YAW_OUT_DQ
K1:ASC-POP_QPDA1_RF45_I_PIT_OUT_DQ
K1:ASC-POP_QPDA1_RF45_I_YAW_OUT_DQ
K1:ASC-POP_QPDA1_RF45_Q_PIT_OUT_DQ
K1:ASC-POP_QPDA1_RF45_Q_YAW_OUT_DQ
K1:ASC-POP_QPDA2_DC_PIT_OUT_DQ
K1:ASC-POP_QPDA2_DC_SUM_OUT_DQ
K1:ASC-POP_QPDA2_DC_YAW_OUT_DQ
K1:ASC-POP_QPDA2_RF17_I_PIT_OUT_DQ
K1:ASC-POP_QPDA2_RF17_I_YAW_OUT_DQ
K1:ASC-POP_QPDA2_RF17_Q_PIT_OUT_DQ
K1:ASC-POP_QPDA2_RF17_Q_YAW_OUT_DQ
K1:ASC-POP_QPDA2_RF45_I_PIT_OUT_DQ
K1:ASC-POP_QPDA2_RF45_I_YAW_OUT_DQ
K1:ASC-POP_QPDA2_RF45_Q_PIT_OUT_DQ
K1:ASC-POP_QPDA2_RF45_Q_YAW_OUT_DQ
K1:ASC-REFL_QPDA1_DC_PIT_OUT_DQ
K1:ASC-REFL_QPDA1_DC_SUM_OUT_DQ
K1:ASC-REFL_QPDA1_DC_YAW_OUT_DQ
K1:ASC-REFL_QPDA1_RF17_I_PIT_OUT_DQ
K1:ASC-REFL_QPDA1_RF17_I_YAW_OUT_DQ
K1:ASC-REFL_QPDA1_RF17_Q_PIT_OUT_DQ
K1:ASC-REFL_QPDA1_RF17_Q_YAW_OUT_DQ
K1:ASC-REFL_QPDA1_RF45_I_PIT_OUT_DQ
K1:ASC-REFL_QPDA1_RF45_I_YAW_OUT_DQ
K1:ASC-REFL_QPDA1_RF45_Q_PIT_OUT_DQ
K1:ASC-REFL_QPDA1_RF45_Q_YAW_OUT_DQ
K1:ASC-REFL_QPDA2_DC_PIT_OUT_DQ
K1:ASC-REFL_QPDA2_DC_SUM_OUT_DQ
K1:ASC-REFL_QPDA2_DC_YAW_OUT_DQ
K1:ASC-REFL_QPDA2_RF17_I_PIT_OUT_DQ
K1:ASC-REFL_QPDA2_RF17_I_YAW_OUT_DQ
K1:ASC-REFL_QPDA2_RF17_Q_PIT_OUT_DQ
K1:ASC-REFL_QPDA2_RF17_Q_YAW_OUT_DQ
K1:ASC-REFL_QPDA2_RF45_I_PIT_OUT_DQ
K1:ASC-REFL_QPDA2_RF45_I_YAW_OUT_DQ
K1:ASC-REFL_QPDA2_RF45_Q_PIT_OUT_DQ
K1:ASC-REFL_QPDA2_RF45_Q_YAW_OUT_DQ
K1:ASC-CHARD_P_OUT_DQ
K1:ASC-CHARD_Y_OUT_DQ
K1:ASC-CSOFT_P_OUT_DQ
K1:ASC-CSOFT_Y_OUT_DQ
K1:ASC-DHARD_P_OUT_DQ
K1:ASC-DHARD_Y_OUT_DQ
K1:ASC-DSOFT_P_OUT_DQ
K1:ASC-DSOFT_Y_OUT_DQ
K1:ASC-INP1_P_OUT_DQ
K1:ASC-INP1_Y_OUT_DQ
K1:ASC-MICH_P_OUT_DQ
K1:ASC-MICH_Y_OUT_DQ
K1:ASC-PRC1_P_OUT_DQ
K1:ASC-PRC1_Y_OUT_DQ
K1:ASC-PRC2_P_OUT_DQ
K1:ASC-PRC2_Y_OUT_DQ
